/* DATA DESCRIPTION:
Citation:	Hodell, David A; Crowhurst, Simon J; Lourens, Lucas Joost; Margari, Vasiliki; Nicolson, John; Rolfe, James E; Skinner, Luke C; Thomas, Nicola C; Tzedakis, Polychronis C; Mleneck-Vautravers, Maryline J; Wolff, Eric William (2023): Combined oxgyen and carbon isotope data of Cibiicidoides in piston core MD01-2444 and IODPP Site 339-U1385. PANGAEA, https://doi.org/10.1594/PANGAEA.951396, 
	In: Hodell, DA et al. (2023): Benthic and planktonic oxygen and carbon isotopes and XRF data at IODP Site U1385 and core MD01-2444 from 0 to 1.5 Ma. PANGAEA, https://doi.org/10.1594/PANGAEA.951401
Keyword(s):	Benthic and planktonic foraminifera; IODP 339; MD01-2444; oxygen and carbon isotopes; XRF data
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Funding:	Leverhulme Trust, grant/award no. RPG2014-417
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J00653X/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J017922/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/K005804/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/R000204/1
Coverage:	MEDIAN LATITUDE: 37.568208 * MEDIAN LONGITUDE: -10.130014 * SOUTH-BOUND LATITUDE: 37.565000 * WEST-BOUND LONGITUDE: -10.134000 * NORTH-BOUND LATITUDE: 37.571416 * EAST-BOUND LONGITUDE: -10.126027
	DATE/TIME START: 2011-11-25T00:00:00 * DATE/TIME END: 2011-11-25T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.030 m * MAXIMUM DEPTH, sediment/rock: 26.940 m
Event(s):	339-U1385 * LATITUDE: 37.571416 * LONGITUDE: -10.126027 * DATE/TIME: 2011-11-25T00:00:00 * ELEVATION: -2587.0 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE)
	MD01-2444 * LATITUDE: 37.565000 * LONGITUDE: -10.134000 * ELEVATION: -2656.0 m * CAMPAIGN: MD123 (GEOSCIENCES, MARMARCORE) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: MD01-2444
	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: IODP Depth Scale Terminology (URI: hdl:10013/epic.50267.d001) * COMMENT: Equivalent 339-U1385 crmcd
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: Hybrid Age
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Lisiecki & Raymo (2005) [LR04] (URI: https://doi.org/10.1029/2004PA001071)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Ahn et al. (2017) [revised LR04 Prob Stack] (URI: https://doi.org/10.1093/climsys/dzx002)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Konijnenkijk et al. (2015) [revised Med Sapropel] (URI: https://doi.org/10.1016/j.quascirev.2015.10.005)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Barker et al. (2011) [GrSyn] (URI: https://doi.org/10.1126/science.1203580)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Antarctic ice core chronology (AICC2012) (URI: https://doi.org/10.5194/cp-9-1733-2013)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Buizert et al. (2015) [West Antarctic Ice Sheet (WAIS) model] (URI: https://doi.org/10.1038/nature14401)
	Cibicidoides spp., δ18O [‰ PDB] (Cibicidoides spp. δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, VG Sira and Thermo Finnigan, MAT 253 * COMMENT: vs. VPDB
	Cibicidoides spp., δ13C [‰ PDB] (Cibicidoides spp. δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, VG Sira and Thermo Finnigan, MAT 253 * COMMENT: vs. VPDB
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	23074 data points
*/
Depth sed [m] (MD01-2444)	Depth corr cr [crmcd] (Equivalent 339-U1385 crmcd, I...)	Age [ka BP] (Hybrid Age)	Age [ka BP] (Age model according to Lisiec...)	Age [ka BP] (Age model according to Ahn et...)	Age [ka BP] (Age model according to Konijn...)	Age [ka BP] (Age model according to Barker...)	Age [ka BP] (Antarctic ice core chronology...)	Age [ka BP] (Age model according to Buizer...)	Cibicidoides spp. δ18O [‰ PDB] (vs. VPDB, Mass spectrometer, ...)	Cibicidoides spp. δ13C [‰ PDB] (vs. VPDB, Mass spectrometer, ...)
	103.42	910.05	903.80000	898.17000	910.05000				3.64	0.6300
	103.43	910.14	903.90000	898.28000	910.14000				3.58	0.5400
	103.44	910.24	903.99000	898.39000	910.24000				3.53	0.4500
	103.46	910.43	904.19000	898.61000	910.43000				3.56	0.4400
	103.47	910.52	904.29000	898.71000	910.52000				3.51	0.5400
	103.48	910.62	904.39000	898.82000	910.62000				3.63	0.5300
	103.50	910.81	904.58000	899.04000	910.81000				3.61	0.4400
	103.51	910.90	904.68000	899.15000	910.90000				3.58	0.6100
	103.52	911.00	904.78000	899.26000	911.00000				3.49	0.5800
	103.54	911.19	904.98000	899.48000	911.19000				3.52	0.6100
	103.55	911.29	905.07000	899.58000	911.29000				3.44	0.5800
	103.56	911.38	905.17000	899.69000	911.38000				3.49	0.5300
	103.58	911.57	905.37000	899.91000	911.57000				3.52	0.5400
	103.59	911.67	905.47000	900.02000	911.67000				3.55	0.6200
	103.60	911.76	905.56000	900.13000	911.76000				3.51	0.6000
	103.61	911.86	905.66000	900.24000	911.86000				3.54	0.5600
	103.62	911.95	905.76000	900.34000	911.95000				3.47	0.5600
	103.63	912.05	905.86000	900.45000	912.05000				3.60	0.5100
	103.64	912.14	905.96000	900.56000	912.14000				3.49	0.4500
	103.66	912.33	906.15000	900.78000	912.33000				3.48	0.4700
	103.67	912.43	906.25000	900.89000	912.43000				3.46	0.5300
	103.68	912.52	906.35000	901.00000	912.52000				3.37	0.4900
	103.70	912.71	906.55000	901.21000	912.71000				3.35	0.5100
	103.71	912.81	906.64000	901.32000	912.81000				3.64	0.5000
	103.72	912.91	906.74000	901.43000	912.91000				3.37	0.4200
	103.74	913.10	906.94000	901.65000	913.10000				3.43	0.4500
	103.75	913.19	907.04000	901.76000	913.19000				3.45	0.5000
	103.76	913.29	907.13000	901.86000	913.29000				3.54	0.4800
	103.78	913.48	907.33000	902.08000	913.48000				3.52	0.4300
	103.79	913.57	907.43000	902.19000	913.57000				3.28	0.3400
	103.80	913.67	907.53000	902.30000	913.67000				3.52	0.3400
	103.82	913.86	907.72000	902.52000	913.86000				3.46	0.4600
	103.83	913.95	907.82000	902.62000	913.95000				3.50	0.4600
	103.84	914.05	907.92000	902.73000	914.05000				3.49	0.4700
	103.86	914.24	908.12000	902.95000	914.24000				3.55	0.3700
	103.87	914.33	908.21000	903.06000	914.33000				3.58	0.4600
	103.88	914.43	908.31000	903.17000	914.43000				3.46	0.4400
	103.90	914.62	908.51000	903.38000	914.62000				3.52	0.3400
	103.91	914.72	908.61000	903.49000	914.72000				3.67	0.3400
	103.92	914.81	908.70000	903.60000	914.81000				3.45	0.4900
	103.94	915.00	908.90000	903.82000	915.00000				3.52	0.5100
	103.95	915.10	909.00000	903.93000	915.10000				3.68	0.3700
	103.96	915.19	909.10000	904.04000	915.19000				3.65	0.3800
	103.98	915.38	909.29000	904.25000	915.38000				3.47	0.3400
	103.99	915.48	909.39000	904.36000	915.48000				3.41	0.2400
	104.00	915.57	909.49000	904.47000	915.57000				3.56	0.2400
	104.02	915.76	909.69000	904.69000	915.76000				3.50	0.2300
	104.03	915.86	909.78000	904.80000	915.86000				3.26	0.0800
	104.04	915.95	909.88000	904.90000	915.95000				3.49	0.2000
	104.06	916.15	910.08000	905.12000	916.15000				3.52	0.0300
	104.07	916.24	910.18000	905.23000	916.24000				3.44	-0.0100
	104.08	916.34	910.27000	905.34000	916.34000				3.44	0.0400
	104.12	916.72	910.67000	905.77000	916.72000				3.57	-0.1700
	104.14	916.91	910.86000	905.99000	916.91000				3.42	0.0000
	104.16	917.10	911.06000	906.21000	917.10000				3.48	-0.0300
	104.18	917.29	911.26000	906.43000	917.29000				3.45	0.0100
	104.20	917.48	911.45000	906.64000	917.48000				3.68	0.0700
	104.22	917.67	911.65000	906.86000	917.67000				3.50	0.3100
	104.24	917.86	911.84000	907.08000	917.86000				3.74	0.3200
	104.26	918.05	912.04000	907.29000	918.05000				3.60	0.3800
	104.28	918.24	912.24000	907.51000	918.24000				3.67	0.3100
	104.32	918.62	912.63000	907.95000	918.62000				3.74	0.2200
	104.33	918.72	912.74000	908.05000	918.72000				3.61	0.1600
	104.34	918.81	912.86000	908.16000	918.81000				3.61	0.3700
	104.36	919.00	912.97000	908.38000	919.00000				3.56	0.4100
	104.37	919.10	913.09000	908.49000	919.10000				3.31	0.2700
	104.38	919.19	913.20000	908.60000	919.19000				3.72	0.3900
	104.39	919.29	913.32000	908.71000	919.29000				3.48	0.2900
	104.40	919.38	913.44000	908.81000	919.38000				3.69	0.3000
	104.41	919.48	913.55000	908.92000	919.48000				3.58	0.4100
	104.44	919.77	913.78000	909.25000	919.77000				3.59	0.3300
	104.45	919.86	913.90000	909.36000	919.86000				3.69	0.4000
	104.45	919.86	913.91000	909.36000	919.86000				3.63	0.4000
	104.46	919.96	913.99000	909.47000	919.96000				3.63	0.4500
	104.46	919.96	914.01000	909.47000	919.96000				3.42	0.3700
	104.47	920.05	914.15000	909.57000	920.05000				3.50	0.3100
	104.47	920.05	914.13000	909.57000	920.05000				3.56	0.2900
	104.48	920.15	914.23000	909.68000	920.15000				3.50	0.2900
	104.49	920.24	914.31000	909.79000	920.24000				3.55	0.3200
	104.51	920.43	914.46000	910.01000	920.43000				3.36	0.4700
	104.52	920.53	914.62000	910.12000	920.53000				3.56	0.4300
	104.54	920.72	914.77000	910.33000	920.72000				3.42	0.4300
	104.55	920.81	914.93000	910.44000	920.81000				3.28	0.2900
	104.55	920.81	914.85000	910.44000	920.81000				3.46	0.3600
	104.57	921.00	915.09000	910.66000	921.00000				3.39	0.3300
	104.58	921.10	915.17000	910.77000	921.10000				3.44	0.4200
	104.59	921.16	915.24000	910.88000	921.16000				3.49	0.4300
	104.60	921.23	915.40000	910.99000	921.23000				3.44	0.3400
	104.61	921.29	915.48000	911.10000	921.29000				3.52	0.3600
	104.62	921.36	915.56000	911.20000	921.36000				3.30	0.3700
	104.63	921.42	915.71000	911.31000	921.42000				3.34	0.3400
	104.64	921.49	915.79000	911.42000	921.49000				3.42	0.3500
	104.65	921.55	915.87000	911.53000	921.55000				3.29	0.3500
	104.67	921.68	916.10000	911.75000	921.68000				3.49	0.2900
	104.67	921.68	916.03000	911.75000	921.68000				3.29	0.3400
	104.68	921.75	916.18000	911.86000	921.75000				3.28	0.2000
	104.70	921.88	916.34000	912.07000	921.88000				3.34	0.1800
	104.71	921.94	916.42000	912.18000	921.94000				3.45	0.4800
	104.71	921.94	916.50000	912.18000	921.94000				3.29	0.2300
	104.73	922.07	916.65000	912.40000	922.07000				3.30	0.1300
	104.73	922.07	916.67000	912.40000	922.07000				3.45	0.2800
	104.73	922.07	916.69000	912.40000	922.07000				3.42	0.2400
	104.74	922.13	916.74000	912.51000	922.13000				3.38	0.3400
	104.74	922.13	916.72000	912.51000	922.13000				3.26	0.1500
	104.74	922.13	916.76000	912.51000	922.13000				3.37	0.2000
	104.74	922.13	916.79000	912.51000	922.13000				3.26	0.1700
	104.75	922.20	916.81000	912.62000	922.20000				3.43	0.0400
	104.75	922.20	916.83000	912.62000	922.20000				3.42	0.1400
	104.76	922.26	916.95000	912.72000	922.26000				3.31	0.1400
	104.77	922.33	917.04000	912.83000	922.33000				3.58	0.0800
	104.78	922.39	917.14000	912.94000	922.39000				3.26	0.0800
	104.80	922.52	917.34000	913.16000	922.52000				3.32	-0.0600
	104.81	922.59	917.44000	913.27000	922.59000				3.48	-0.0300
	104.82	922.65	917.53000	913.38000	922.65000				3.28	0.0500
	104.84	922.78	917.73000	913.59000	922.78000				3.40	0.1800
	104.85	922.84	917.83000	913.70000	922.84000				3.54	-0.0300
	104.86	922.91	917.93000	913.81000	922.91000				3.34	0.0700
	104.88	923.04	918.12000	914.03000	923.04000				3.30	-0.3100
	104.89	923.10	918.22000	914.14000	923.10000				3.62	-0.5000
	104.90	923.17	918.32000	914.24000	923.17000				3.37	-0.2800
	104.92	923.30	918.52000	914.46000	923.30000				3.22	-0.0700
	104.93	923.36	918.61000	914.57000	923.36000				3.41	-0.2500
	104.94	923.43	918.71000	914.68000	923.43000				3.22	-0.2400
	104.96	923.55	918.91000	914.90000	923.55000				3.25	-0.0100
	104.97	923.62	919.01000	915.00000	923.62000				3.45	-0.2900
	104.98	923.68	919.10000	915.11000	923.68000				3.30	-0.5500
	105.00	923.81	919.30000	915.33000	923.81000				3.27	-0.3500
	105.01	923.88	919.40000	915.44000	923.88000				3.54	-0.5100
	105.02	923.94	919.50000	915.55000	923.94000				3.35	-0.4700
	105.04	924.07	919.69000	915.76000	924.07000				3.23	-0.0400
	105.05	924.14	919.79000	915.87000	924.14000				3.51	-0.8200
	105.06	924.20	919.89000	915.98000	924.20000				3.58	-0.6100
	105.08	924.33	920.09000	916.20000	924.33000				3.59	-0.7400
	105.09	924.39	920.18000	916.31000	924.39000				3.84	-0.8900
	105.10	924.46	920.28000	916.42000	924.46000				3.65	-0.7900
	105.12	924.59	920.48000	916.63000	924.59000				3.35	-0.3700
	105.13	924.65	920.58000	916.74000	924.65000				3.73	-0.7400
	105.14	924.72	920.67000	916.85000	924.72000				3.36	-0.8400
	105.16	924.85	920.87000	917.07000	924.85000				3.55	-0.7800
	105.17	924.91	920.97000	917.18000	924.91000				3.88	-0.6900
	105.18	924.98	921.07000	917.29000	924.98000				3.63	-0.6800
	105.20	925.10	921.26000	917.50000	925.10000				3.75	-0.4900
	105.21	925.17	921.36000	917.61000	925.17000				4.10	-0.5200
	105.22	925.23	921.46000	917.72000	925.23000				4.09	-0.3100
	105.24	925.36	921.66000	917.94000	925.36000				3.65	-0.7800
	105.25	925.43	921.75000	918.05000	925.43000				4.16	-0.4200
	105.26	925.49	921.85000	918.15000	925.49000				4.31	-0.5100
	105.28	925.62	922.03000	918.37000	925.62000				3.91	-0.2900
	105.29	925.69	922.11000	918.48000	925.69000				4.08	-0.4500
	105.30	925.75	922.19000	918.59000	925.75000				3.95	-0.2200
	105.32	925.88	922.34000	918.81000	925.88000				3.87	-0.1600
	105.33	925.94	922.42000	918.91000	925.94000				3.77	-0.1000
	105.34	926.01	922.50000	919.02000	926.01000				3.97	-0.3200
	105.36	926.14	922.66000	919.24000	926.14000				4.19	-0.5600
	105.38	926.27	922.81000	919.46000	926.27000				3.69	-0.1100
	105.39	926.33	922.89000	919.57000	926.33000				4.07	-0.2200
	105.40	926.40	922.97000	919.67000	926.40000				3.87	-0.1900
	105.43	926.59	923.20000	920.00000	926.59000				4.06	-0.2000
	105.44	926.65	923.28000	920.12000	926.65000				3.93	-0.3400
	105.47	926.85	923.52000	920.46000	926.85000				4.24	-0.1900
	105.50	927.04	923.75000	920.81000	927.04000				3.83	0.0200
	105.51	927.11	923.83000	920.93000	927.11000				4.20	-0.1300
	105.54	927.30	924.07000	921.28000	927.30000				4.01	-0.0600
	105.56	927.43	924.22000	921.51000	927.43000				3.99	-0.2000
	105.58	927.56	924.38000	921.74000	927.56000				3.91	-0.0900
	105.59	927.62	924.46000	921.86000	927.62000				4.14	0.0200
	105.60	927.69	924.54000	921.97000	927.69000				3.99	0.0500
	105.62	927.82	924.69000	922.20000	927.82000				3.99	0.0300
	105.63	927.88	924.77000	922.32000	927.88000				4.08	0.1400
	105.64	927.95	924.85000	922.43000	927.95000				3.88	-0.0200
	105.66	928.08	925.01000	922.67000	928.08000				3.92	-0.0200
	105.67	928.14	925.09000	922.78000	928.14000				4.07	0.0700
	105.68	928.21	925.17000	922.90000	928.21000				3.94	0.1300
	105.70	928.33	925.32000	923.13000	928.33000				4.07	0.1200
	105.71	928.40	925.40000	923.25000	928.40000				3.71	0.3500
	105.72	928.46	925.48000	923.36000	928.46000				3.90	0.1400
	105.74	928.59	925.64000	923.59000	928.59000				4.03	0.1000
	105.75	928.66	925.71000	923.71000	928.66000				3.97	0.0400
	105.76	928.72	925.79000	923.83000	928.72000				3.86	0.0100
	105.78	928.85	925.95000	924.06000	928.85000				3.62	-0.0700
	105.79	928.92	926.03000	924.17000	928.92000				4.06	0.0000
	105.82	929.11	926.26000	924.52000	929.11000				3.77	-0.1900
	105.83	929.17	926.34000	924.64000	929.17000				3.82	-0.0200
	105.86	929.37	926.58000	924.99000	929.37000				3.68	-0.4300
	105.87	929.43	926.66000	925.10000	929.43000				3.97	-0.0500
	105.88	929.50	926.73000	925.22000	929.50000				3.74	-0.1500
	105.90	929.63	926.89000	925.45000	929.63000				3.79	0.0300
	105.91	929.69	926.97000	925.57000	929.69000				3.91	-0.0800
	105.92	929.76	927.05000	925.68000	929.76000				3.68	-0.2400
	105.94	929.88	927.20000	925.91000	929.88000				3.55	0.4200
	105.95	929.95	927.28000	926.03000	929.95000				3.90	0.3000
	105.96	930.01	927.36000	926.14000	930.01000				3.78	0.3800
	105.98	930.14	927.52000	926.38000	930.14000				3.63	0.1400
	105.99	930.21	927.60000	926.49000	930.21000				3.80	0.3900
	106.00	930.27	927.67000	926.61000	930.27000				3.61	0.3400
	106.02	930.40	927.83000	926.84000	930.40000				3.55	0.3800
	106.03	930.47	927.91000	926.96000	930.47000				3.61	0.5000
	106.04	930.53	927.99000	927.07000	930.53000				3.42	0.4400
	106.06	930.66	928.15000	927.30000	930.66000				3.52	0.3600
	106.07	930.72	928.22000	927.42000	930.72000				3.60	0.5300
	106.08	930.79	928.30000	927.54000	930.79000				3.31	0.4500
	106.10	930.92	928.46000	927.77000	930.92000				3.35	0.1700
	106.11	930.98	928.54000	927.88000	930.98000				3.62	0.4600
	106.12	931.05	928.62000	928.00000	931.05000				3.43	0.1100
	106.14	931.18	928.77000	928.14000	931.18000				3.24	0.3100
	106.15	931.24	928.85000	928.21000	931.24000				3.55	0.4700
	106.16	931.31	928.93000	928.28000	931.31000				3.41	0.2700
	106.18	931.43	929.09000	928.42000	931.43000				3.35	-0.0400
	106.19	931.50	929.16000	928.48000	931.50000				3.52	0.0800
	106.22	931.69	929.40000	928.69000	931.69000				3.55	0.1500
	106.23	931.76	929.48000	928.76000	931.76000				3.34	-0.0200
	106.26	931.95	929.71000	928.97000	931.95000				3.53	-0.2000
	106.27	932.02	929.79000	929.04000	932.02000				3.45	-0.2200
	106.28	932.08	929.87000	929.11000	932.08000				3.38	0.0000
	106.30	932.21	930.03000	929.25000	932.21000				3.59	-0.0300
	106.31	932.27	930.11000	929.32000	932.27000				3.78	0.0100
	106.32	932.34	930.18000	929.38000	932.34000				3.59	-0.1900
	106.34	932.47	930.34000	929.52000	932.47000				3.73	0.1900
	106.35	932.53	930.42000	929.59000	932.53000				3.52	0.3400
	106.36	932.60	930.50000	929.66000	932.60000				3.42	0.1000
	106.38	932.73	930.65000	929.80000	932.73000				3.45	0.4200
	106.39	932.79	930.73000	929.87000	932.79000				3.61	0.4600
	106.40	932.86	930.81000	929.94000	932.86000				3.46	0.3200
	106.42	932.98	930.97000	930.08000	932.98000				3.46	0.2400
	106.43	933.05	931.05000	930.15000	933.05000				3.54	0.3700
	106.44	933.11	931.13000	930.22000	933.11000				3.44	0.1600
	106.46	933.24	931.28000	930.35000	933.24000				3.41	0.1300
	106.47	933.31	931.36000	930.42000	933.31000				3.32	-0.0400
	106.48	933.37	931.44000	930.49000	933.37000				3.30	0.0700
	106.50	933.50	931.60000	930.63000	933.50000				3.33	-0.1200
	106.51	933.57	931.67000	930.70000	933.57000				3.46	-0.0800
	106.52	933.63	931.75000	930.77000	933.63000				3.37	-0.2000
	106.54	933.76	931.91000	930.91000	933.76000				3.42	0.1300
	106.55	933.82	931.99000	930.98000	933.82000				3.49	-0.2100
	106.56	933.89	932.07000	931.05000	933.89000				3.57	0.0400
	106.58	934.02	932.22000	931.18000	934.02000				3.62	0.1900
	106.59	934.08	932.30000	931.25000	934.08000				3.26	0.5200
	106.60	934.15	932.38000	931.32000	934.15000				3.52	0.1400
	106.62	934.28	932.54000	931.46000	934.28000				3.52	0.3500
	106.63	934.34	932.61000	931.53000	934.34000				3.25	-0.0200
	106.64	934.41	932.69000	931.60000	934.41000				3.60	0.2600
	106.66	934.54	932.85000	931.74000	934.54000				3.36	0.3900
	106.67	934.60	932.93000	931.81000	934.60000				3.39	0.4000
	106.68	934.66	933.01000	931.88000	934.66000				3.41	0.3500
	106.70	934.79	933.16000	932.02000	934.79000				3.56	0.3900
	106.71	934.86	933.24000	932.08000	934.86000				3.42	0.5300
	106.72	934.92	933.32000	932.15000	934.92000				3.36	0.4300
	106.74	935.05	933.48000	932.29000	935.05000				3.41	0.3800
	106.75	935.12	933.56000	932.36000	935.12000				3.33	0.4700
	106.76	935.18	933.63000	932.43000	935.18000				3.34	0.4100
	106.78	935.31	933.79000	932.57000	935.31000				3.21	0.2200
	106.79	935.37	933.87000	932.64000	935.37000				3.30	0.2900
	106.80	935.44	933.95000	932.71000	935.44000				3.11	0.2300
	106.82	935.57	934.10000	932.85000	935.57000				3.19	0.3700
	106.83	935.63	934.18000	932.92000	935.63000				3.12	0.0700
	106.84	935.70	934.26000	932.98000	935.70000				3.16	0.1600
	106.86	935.83	934.42000	933.12000	935.83000				3.13	0.0600
	106.88	935.96	934.58000	933.26000	935.96000				3.15	0.0900
	106.89	936.02	934.65000	933.33000	936.02000				3.21	-0.0100
	106.90	936.09	934.73000	933.40000	936.09000				3.36	-0.1700
	106.92	936.21	934.89000	933.54000	936.21000				3.21	-0.1400
	106.93	936.28	934.97000	933.61000	936.28000				3.35	-0.0200
	106.97	936.54	935.28000	933.88000	936.54000				3.30	0.2900
	106.98	936.60	935.36000	933.95000	936.60000				3.38	0.2200
	107.00	936.73	935.52000	934.09000	936.73000				3.25	0.1300
	107.01	936.80	935.59000	934.16000	936.80000				3.03	-0.2600
	107.02	936.86	935.67000	934.23000	936.86000				3.28	0.2800
	107.04	936.99	935.83000	934.37000	936.99000				3.28	0.3200
	107.05	937.05	935.91000	934.44000	937.05000				3.44	0.4500
	107.06	937.12	935.99000	934.51000	937.12000				3.34	0.3500
	107.08	937.25	936.14000	934.65000	937.25000				3.37	0.3900
	107.09	937.31	936.22000	934.72000	937.31000				3.41	0.3900
	107.10	937.38	936.30000	934.78000	937.38000				3.40	0.4300
	107.12	937.51	936.46000	934.92000	937.51000				3.30	0.4500
	107.13	937.57	936.54000	934.99000	937.57000				3.27	0.4300
	107.14	937.64	936.61000	935.06000	937.64000				3.23	0.4700
	107.16	937.79	936.77000	935.20000	937.79000				3.28	0.4900
	107.17	937.87	936.85000	935.27000	937.87000				3.32	0.4500
	107.18	937.96	936.93000	935.34000	937.96000				3.18	0.4500
	107.20	938.13	937.08000	935.48000	938.13000				3.32	0.4200
	107.21	938.22	937.16000	935.55000	938.22000				3.23	0.4000
	107.22	938.30	937.24000	935.62000	938.30000				3.14	0.4500
	107.24	938.47	937.40000	935.75000	938.47000				3.10	0.4300
	107.25	938.56	937.48000	935.82000	938.56000				3.27	0.4400
	107.26	938.64	937.56000	935.89000	938.64000				3.01	0.4800
	107.28	938.82	937.71000	936.03000	938.82000				3.16	0.4500
	107.29	938.90	937.79000	936.10000	938.90000				3.21	0.6100
	107.30	938.99	937.87000	936.17000	938.99000				2.98	0.5200
	107.32	939.16	938.03000	936.31000	939.16000				3.19	0.4800
	107.33	939.25	938.10000	936.38000	939.25000				3.17	0.4700
	107.34	939.33	938.18000	936.45000	939.33000				3.02	0.6400
	107.36	939.50	938.34000	936.58000	939.50000				3.07	0.4700
	107.37	939.59	938.42000	936.65000	939.59000				3.06	0.5500
	107.38	939.68	938.50000	936.72000	939.68000				3.05	0.4700
	107.40	939.85	938.65000	936.86000	939.85000				3.27	0.5300
	107.41	939.93	938.73000	936.93000	939.93000				3.31	0.5100
	107.42	940.02	938.81000	937.00000	940.02000				3.05	0.5800
	107.44	940.19	938.97000	937.14000	940.19000				2.98	0.4600
	107.45	940.28	939.05000	937.21000	940.28000				2.99	0.4900
	107.46	940.36	939.12000	937.28000	940.36000				3.01	0.6200
	107.48	940.53	939.28000	937.42000	940.53000				3.09	0.4700
	107.50	940.71	939.44000	937.55000	940.71000				2.91	0.5700
	107.52	940.88	939.59000	937.69000	940.88000				2.91	0.5300
	107.53	940.96	939.67000	937.76000	940.96000				3.00	0.4200
	107.54	941.05	939.75000	937.83000	941.05000				2.84	0.4300
	107.56	941.22	939.91000	937.97000	941.22000				2.82	0.4700
	107.57	941.31	939.99000	938.04000	941.31000				2.85	0.1100
	107.58	941.39	940.06000	938.11000	941.39000				2.91	0.3300
	107.61	941.65	940.30000	938.32000	941.65000				3.21	0.6900
	107.65	941.99	940.61000	938.59000	941.99000				3.08	0.6400
	107.68	942.25	940.85000	938.80000	942.25000				2.90	0.2700
	107.76	942.94	941.48000	939.35000	942.94000				3.14	0.6900
	107.77	943.03	941.55000	939.42000	943.03000				3.24	0.6900
	107.85	943.71	942.18000	939.98000	943.71000				3.26	0.6600
	107.86	943.80	942.26000	940.05000	943.80000				3.09	0.7200
	107.93	944.40	942.81000	940.53000	944.40000				2.90	0.6200
	107.96	944.66	943.04000	940.74000	944.66000				3.02	0.7000
	107.97	944.74	943.12000	940.81000	944.74000				3.14	0.7100
	108.00	945.00	943.36000	941.02000	945.00000				3.12	0.6100
	108.01	945.09	943.44000	941.08000	945.09000				3.09	0.6600
	108.05	945.43	943.75000	941.36000	945.43000				3.12	0.5900
	108.06	945.52	943.83000	941.43000	945.52000				3.00	0.7500
	108.09	945.77	944.06000	941.64000	945.77000				2.93	0.6500
	108.12	946.03	944.30000	941.85000	946.03000				3.07	0.7300
	108.13	946.12	944.38000	941.92000	946.12000				3.12	0.8100
	108.17	946.46	944.69000	942.19000	946.46000				3.17	0.7500
	108.18	946.55	944.77000	942.26000	946.55000				2.99	0.6900
	108.20	946.72	944.93000	942.40000	946.72000				3.14	0.7500
	108.21	946.81	945.01000	942.47000	946.81000				3.16	0.6200
