/* DATA DESCRIPTION:
Citation:	Hodell, David A; Crowhurst, Simon J; Lourens, Lucas Joost; Margari, Vasiliki; Nicolson, John; Rolfe, James E; Skinner, Luke C; Thomas, Nicola C; Tzedakis, Polychronis C; Mleneck-Vautravers, Maryline J; Wolff, Eric William (2023): XRF Ca/Ti and Zr/Sr ratios for sediment core MD01-2444. PANGAEA, https://doi.org/10.1594/PANGAEA.951398, 
	In: Hodell, DA et al. (2023): Benthic and planktonic oxygen and carbon isotopes and XRF data at IODP Site U1385 and core MD01-2444 from 0 to 1.5 Ma. PANGAEA, https://doi.org/10.1594/PANGAEA.951401
Keyword(s):	Benthic and planktonic foraminifera; IODP 339; MD01-2444; oxygen and carbon isotopes; XRF data
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Funding:	Leverhulme Trust, grant/award no. RPG2014-417
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J00653X/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J017922/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/K005804/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/R000204/1
Coverage:	LATITUDE: 37.565000 * LONGITUDE: -10.134000
	MINIMUM DEPTH, sediment/rock: 0.180 m * MAXIMUM DEPTH, sediment/rock: 26.907 m
Event(s):	MD01-2444 * LATITUDE: 37.565000 * LONGITUDE: -10.134000 * ELEVATION: -2656.0 m * CAMPAIGN: MD123 (GEOSCIENCES, MARMARCORE) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: MD01-2444
	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: IODP Depth Scale Terminology (URI: hdl:10013/epic.50267.d001) * COMMENT: Equivalent 339-U1385 crmcd
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: Hybrid Age
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Lisiecki & Raymo (2005) [LR04] (URI: https://doi.org/10.1029/2004PA001071)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Ahn et al. (2017) [revised LR04 Prob Stack] (URI: https://doi.org/10.1093/climsys/dzx002)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Konijnenkijk et al. (2015) [revised Med Sapropel] (URI: https://doi.org/10.1016/j.quascirev.2015.10.005)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Barker et al. (2011) [GrSyn] (URI: https://doi.org/10.1126/science.1203580)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Antarctic ice core chronology (AICC2012) (URI: https://doi.org/10.5194/cp-9-1733-2013)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Buizert et al. (2015) [West Antarctic Ice Sheet (WAIS) model] (URI: https://doi.org/10.1038/nature14401)
	Calcium/Titanium ratio (Ca/Ti) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: X-ray fluorescence Avaatech core scanner (XRF)
	Zirconium/Strontium ratio (Zr/Sr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: X-ray fluorescence Avaatech core scanner (XRF)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	31782 data points
*/
Depth sed [m] (MD01-2444)	Depth corr cr [crmcd] (Equivalent 339-U1385 crmcd, I...)	Age [ka BP] (Hybrid Age)	Age [ka BP] (Age model according to Lisiec...)	Age [ka BP] (Age model according to Ahn et...)	Age [ka BP] (Age model according to Konijn...)	Age [ka BP] (Age model according to Barker...)	Age [ka BP] (Antarctic ice core chronology...)	Age [ka BP] (Age model according to Buizer...)	Ca/Ti (X-ray fluorescence Avaatech c...)	Zr/Sr (X-ray fluorescence Avaatech c...)
17.055	16.44	85.67	87.49000	87.50700	84.90900	85.67500	87.35400		13.041	0.54655
17.058	16.44	85.69	87.51000	87.52300	84.92800	85.70800	87.38300		13.011	0.56236
17.060	16.45	85.72	87.54000	87.54700	84.95800	85.73000	87.40300		12.933	0.57588
17.063	16.45	85.76	87.57000	87.57200	84.98700	85.76300	87.43200		13.345	0.54212
17.065	16.45	85.79	87.59600	87.59600	85.01600	85.78500	87.45200		13.406	0.53065
17.067	16.45	85.81	87.61300	87.61300	85.03600	85.80700	87.47200		13.323	0.56340
17.070	16.46	85.84	87.63700	87.63700	85.06500	85.84000	87.50100		12.891	0.54804
17.073	16.46	85.87	87.66200	87.66200	85.09400	85.87300	87.53100		13.339	0.55737
17.075	16.46	85.89	87.67800	87.67800	85.11400	85.89500	87.55000		13.253	0.54373
17.077	16.46	85.92	87.70300	87.70300	85.14300	85.91700	87.57000		12.626	0.55284
17.080	16.47	85.95	87.72700	87.72700	85.17200	85.95000	87.60000		13.019	0.52239
17.083	16.47	85.98	87.75200	87.75200	85.20200	85.98300	87.62900		12.773	0.57248
17.085	16.47	86.00	87.76800	87.76800	85.22100	86.00500	87.64900		13.486	0.51037
17.087	16.48	86.03	87.79300	87.79300	85.25000	86.02700	87.66900		13.817	0.49006
17.090	16.48	86.06	87.81700	87.81700	85.28000	86.06000	87.69800		13.714	0.50372
17.093	16.48	86.09	87.84200	87.84200	85.30900	86.09300	87.72800		13.868	0.53393
17.095	16.48	86.11	87.85800	87.85800	85.32800	86.11500	87.74700		13.541	0.54484
17.097	16.49	86.14	87.88300	87.88300	85.35800	86.13700	87.76700		13.139	0.56008
17.100	16.49	86.17	87.90700	87.90700	85.38700	86.17000	87.79600		12.970	0.55531
17.103	16.49	86.20	87.93200	87.93200	85.41600	86.20300	87.82600		13.118	0.59296
17.105	16.50	86.22	87.94800	87.94800	85.43600	86.22500	87.84600		13.046	0.55204
17.108	16.50	86.25	87.97200	87.97200	85.46500	86.25800	87.87500		12.562	0.56867
17.110	16.50	86.28	87.99700	87.99700	85.49400	86.28000	87.89500		12.604	0.55070
17.112	16.50	86.30	88.01300	88.01300	85.51400	86.30200	87.91400		12.347	0.55880
17.115	16.51	86.33	88.03800	88.03800	85.54300	86.33500	87.94400		12.684	0.53481
17.118	16.51	86.36	88.06200	88.06200	85.57200	86.36800	87.97300		12.801	0.55949
17.120	16.51	86.39	88.08700	88.08700	85.60200	86.39000	87.99300		12.693	0.56317
17.122	16.51	86.41	88.10300	88.10300	85.62100	86.41200	88.01300		12.704	0.58057
17.125	16.52	86.44	88.12800	88.12800	85.65000	86.44500	88.04200		12.917	0.56371
17.128	16.52	86.47	88.15200	88.15200	85.68000	86.47800	88.07200		12.914	0.57989
17.130	16.52	86.50	88.17700	88.17700	85.70900	86.50000	88.09200		13.025	0.57625
17.132	16.52	86.52	88.19300	88.19300	85.72900	86.52200	88.11100		13.089	0.52584
17.135	16.53	86.55	88.21800	88.21800	85.75800	86.55500	88.14100		12.658	0.55551
17.138	16.53	86.58	88.24200	88.24200	85.78700	86.58800	88.17000		12.418	0.60208
17.140	16.53	86.60	88.25900	88.25900	85.80700	86.61000	88.19000		12.553	0.56309
17.142	16.54	86.63	88.28300	88.28300	85.83600	86.63200	88.21000		12.437	0.56141
17.145	16.54	86.66	88.30800	88.30800	85.86500	86.66500	88.23900		12.745	0.58319
17.147	16.54	86.69	88.33200	88.33200	85.89400	86.68700	88.25900		12.410	0.58369
17.150	16.54	86.71	88.34900	88.34900	85.91400	86.72000	88.28800		11.888	0.57830
17.153	16.55	86.74	88.37300	88.37300	85.94300	86.75300	88.31800		12.316	0.54787
17.155	16.55	86.77	88.39800	88.39800	85.97200	86.77500	88.33700		12.465	0.55933
17.157	16.55	86.80	88.42200	88.42200	86.00200	86.79700	88.35700		11.889	0.55224
17.160	16.55	86.82	88.43900	88.43900	86.02100	86.83000	88.38700		11.596	0.55204
17.163	16.56	86.85	88.46300	88.46300	86.05000	86.86300	88.41600		11.411	0.56927
17.165	16.56	86.88	88.48800	88.48800	86.08000	86.88500	88.43600		11.541	0.59405
17.167	16.56	86.91	88.51200	88.51200	86.10900	86.90700	88.45500		11.717	0.58250
17.170	16.57	86.93	88.52800	88.52800	86.12900	86.94000	88.48500		11.398	0.57570
17.173	16.57	86.96	88.55300	88.55300	86.15800	86.97300	88.50700		11.308	0.56560
17.175	16.57	86.99	88.57800	88.57800	86.18700	86.99500	88.52200		11.214	0.57870
17.177	16.57	87.01	88.59400	88.59400	86.20700	87.01700	88.53700		11.245	0.55277
17.180	16.58	87.04	88.61800	88.61800	86.23600	87.05000	88.55900		11.990	0.51431
17.183	16.58	87.07	88.64300	88.64300	86.26500	87.08300	88.58100		12.351	0.46405
17.185	16.58	87.10	88.66700	88.66700	86.29400	87.10500	88.59500		12.668	0.50122
17.188	16.59	87.12	88.68400	88.68400	86.31400	87.13800	88.61800		13.385	0.47301
17.190	16.59	87.15	88.70800	88.70800	86.34300	87.16000	88.63200		12.960	0.43349
17.192	16.59	87.18	88.73300	88.73300	86.37200	87.18200	88.64700		12.897	0.46184
17.195	16.59	87.21	88.75700	88.75700	86.40200	87.21500	88.66900		14.389	0.41199
17.198	16.60	87.23	88.77400	88.77400	86.42100	87.24800	88.69100		14.248	0.38914
17.200	16.60	87.26	88.79800	88.79800	86.45100	87.27000	88.70600		15.864	0.37694
17.202	16.60	87.28	88.82300	88.82300	86.48000	87.28900	88.72100		18.638	0.34621
17.205	16.61	87.31	88.84700	88.84700	86.50900	87.31600	88.74300		18.573	0.34996
17.208	16.61	87.32	88.86400	88.86400	86.52900	87.34400	88.76500		19.971	0.31922
17.210	16.61	87.34	88.88800	88.88800	86.55800	87.36300	88.78000		19.292	0.31808
17.212	16.61	87.37	88.92100	88.92100	86.59700	87.38100	88.79400		19.763	0.31020
17.215	16.62	87.39	88.94500	88.94500	86.62600	87.40900	88.81600		21.964	0.27601
17.218	16.62	87.42	88.97800	88.97800	86.66500	87.43700	88.83900		23.085	0.27800
17.220	16.62	87.44	89.00300	89.00300	86.69400	87.45500	88.85300		24.623	0.26750
17.222	16.63	87.47	89.03500	89.03500	86.73300	87.47400	88.86800		24.268	0.27433
17.225	16.63	87.50	89.06000	89.06000	86.76300	87.50100	88.89000		26.145	0.25412
17.228	16.64	87.52	89.09300	89.09300	86.80200	87.52900	88.91200		22.262	0.29085
17.230	16.64	87.55	89.11700	89.11700	86.83100	87.54800	88.92700		17.681	0.35152
17.233	16.64	87.58	89.15000	89.15000	86.87000	87.57600	88.94900		17.941	0.33980
17.235	16.64	87.60	89.17400	89.17400	86.89900	87.59400	88.96400		25.386	0.27072
17.237	16.65	87.63	89.20700	89.20700	86.93800	87.61300	88.97900		27.632	0.24445
17.240	16.65	87.65	89.23200	89.23200	86.96800	87.64000	89.00100		27.281	0.23959
17.243	16.66	87.68	89.26400	89.26400	87.00700	87.66800	89.02300		27.774	0.22776
17.245	16.66	87.70	89.28900	89.28900	87.03600	87.68700	89.03700		27.826	0.24241
17.247	16.66	87.73	89.32200	89.32200	87.07500	87.70500	89.05200		26.946	0.24120
17.250	16.67	87.75	89.34600	89.34600	87.10400	87.73300	89.07400		28.022	0.22731
17.253	16.67	87.78	89.37900	89.37900	87.14300	87.76100	89.09600		27.879	0.22319
17.255	16.67	87.80	89.40300	89.40300	87.17300	87.77900	89.11100		27.987	0.24028
17.257	16.68	87.83	89.43600	89.43600	87.21200	87.79800	89.12600		28.804	0.23072
17.260	16.68	87.85	89.46100	89.46100	87.24100	87.82600	89.14800		28.347	0.23527
17.263	16.68	87.88	89.49300	89.49300	87.28000	87.85300	89.17000		28.705	0.22798
17.265	16.69	87.90	89.51800	89.51800	87.30900	87.87200	89.18500		30.392	0.21320
17.267	16.69	87.93	89.55100	89.55100	87.34800	87.89000	89.20000		30.860	0.23388
17.270	16.69	87.95	89.57500	89.57500	87.37700	87.91800	89.22200		29.748	0.21567
17.272	16.70	87.98	89.60800	89.60800	87.41600	87.93700	89.23600		30.163	0.20256
17.275	16.70	88.00	89.63200	89.63200	87.44600	87.96400	89.25800		29.847	0.20137
17.278	16.70	88.03	89.66500	89.66500	87.48500	87.99200	89.28100		32.017	0.20579
17.280	16.71	88.05	89.69000	89.69000	87.51400	88.01100	89.29500		29.159	0.21859
17.282	16.71	88.08	89.72200	89.72200	87.55300	88.02900	89.31000		26.081	0.27656
17.285	16.71	88.11	89.74700	89.74700	87.58200	88.05700	89.33200		16.917	0.35770
17.288	16.72	88.13	89.77900	89.77900	87.62100	88.08500	89.35400		18.548	0.31668
17.290	16.72	88.16	89.80400	89.80400	87.65100	88.10300	89.36900		26.627	0.24254
17.292	16.73	88.18	89.83700	89.83700	87.69000	88.12200	89.38400		28.821	0.23556
17.295	16.73	88.21	89.86100	89.86100	87.71900	88.15000	89.40600		28.712	0.23499
17.298	16.73	88.23	89.89400	89.89400	87.75800	88.17700	89.42800		28.632	0.22516
17.300	16.74	88.26	89.91800	89.91800	87.78700	88.19600	89.44300		30.320	0.22584
17.302	16.74	88.29	89.95100	89.95100	87.82600	88.21400	89.45700		28.353	0.21930
17.305	16.74	88.31	89.97600	89.97600	87.85600	88.24200	89.47900		29.184	0.20627
17.308	16.75	88.34	90.00800	90.00800	87.89500	88.27000	89.50200		31.830	0.20384
17.310	16.75	88.36	90.03300	90.03300	87.92400	88.28800	89.51600		31.339	0.19697
17.313	16.75	88.39	90.06600	90.06600	87.96300	88.31600	89.53800		30.481	0.22231
17.315	16.76	88.41	90.09000	90.09000	87.99200	88.33500	89.55300		28.503	0.21740
17.317	16.76	88.44	90.12300	90.12300	88.03100	88.35300	89.56800		29.087	0.24380
17.320	16.76	88.46	90.14700	90.14700	88.06000	88.38100	89.59000		28.064	0.24390
17.323	16.77	88.49	90.18000	90.18000	88.09900	88.40900	89.61200		30.161	0.22826
17.325	16.77	88.51	90.20500	90.20500	88.12900	88.42700	89.62700		28.651	0.22517
17.327	16.77	88.54	90.23700	90.23700	88.16800	88.44600	89.64100		27.740	0.23513
17.330	16.78	88.56	90.26200	90.26200	88.19700	88.47400	89.66400		17.247	0.34507
17.333	16.78	88.59	90.29500	90.29500	88.23600	88.50100	89.68600		18.630	0.31509
17.335	16.79	88.61	90.31900	90.31900	88.26500	88.52000	89.70000		29.508	0.21433
17.337	16.79	88.64	90.35200	90.35200	88.30400	88.53800	89.71500		29.911	0.21636
17.340	16.79	88.66	90.37600	90.37600	88.33400	88.56600	89.73700		30.402	0.22636
17.343	16.80	88.69	90.40900	90.40900	88.37300	88.59400	89.75900		28.684	0.23225
17.345	16.80	88.71	90.43400	90.43400	88.40200	88.61200	89.77400		27.019	0.23333
17.347	16.80	88.74	90.46600	90.46600	88.44100	88.63100	89.78900		29.613	0.20349
17.350	16.81	88.77	90.49100	90.49100	88.47000	88.65900	89.81100		28.065	0.22909
17.353	16.81	88.79	90.52400	90.52400	88.50900	88.68700	89.83300		27.694	0.22825
17.355	16.81	88.82	90.54800	90.54800	88.53900	88.70500	89.84800		28.074	0.20945
17.358	16.82	88.84	90.58100	90.58100	88.57800	88.73300	89.87000		29.192	0.23127
17.360	16.82	88.87	90.60500	90.60500	88.60700	88.75100	89.88500		28.311	0.22516
17.362	16.82	88.90	90.63800	90.63800	88.64600	88.77000	89.89900		28.564	0.22683
17.365	16.83	88.92	90.67100	90.67100	88.68500	88.79800	89.92100		27.413	0.22967
17.368	16.83	88.95	90.69500	90.69500	88.71400	88.82500	89.94300		28.066	0.22478
17.370	16.84	88.97	90.72800	90.72800	88.75300	88.84400	89.95800		29.024	0.22340
17.372	16.84	89.00	90.75200	90.75200	88.78200	88.86200	89.97300		28.566	0.22094
17.375	16.84	89.03	90.78500	90.78500	88.82200	88.89000	89.99500		28.422	0.22400
17.378	16.84	89.05	90.81000	90.81000	88.85100	88.91800	90.01700		28.516	0.21599
17.380	16.85	89.08	90.84200	90.84200	88.89000	88.93700	90.03200		28.959	0.23571
17.382	16.85	89.10	90.86700	90.86700	88.91900	88.95500	90.04700		28.733	0.22615
17.385	16.86	89.13	90.90000	90.90000	88.95800	88.98300	90.06900		27.834	0.21955
17.388	16.86	89.15	90.92400	90.92400	88.98700	89.01100	90.09100		27.709	0.22446
17.390	16.86	89.18	90.95700	90.95700	89.02600	89.02900	90.10600		28.613	0.22208
17.392	16.87	89.20	90.98100	90.98100	89.05600	89.04800	90.12000		28.691	0.22164
17.395	16.87	89.23	91.01400	91.01400	89.09500	89.07500	90.14200		27.837	0.22221
17.397	16.87	89.25	91.03900	91.03900	89.12400	89.09400	90.15700		31.249	0.21637
17.400	16.88	89.28	91.07100	91.07100	89.16300	89.12200	90.17900		30.159	0.20984
17.403	16.88	89.30	91.09600	91.09600	89.19200	89.14900	90.20100		29.231	0.22196
17.405	16.88	89.33	91.12900	91.12900	89.23100	89.16800	90.21600		29.343	0.21587
17.407	16.89	89.35	91.15300	91.15300	89.26100	89.18700	90.23100		31.072	0.22330
17.410	16.89	89.38	91.18600	91.18600	89.30000	89.21400	90.25300		30.466	0.21767
17.413	16.89	89.40	91.21000	91.21000	89.32900	89.24200	90.27500		29.241	0.22021
17.415	16.90	89.43	91.24300	91.24300	89.36800	89.26100	90.29000		28.757	0.23235
17.417	16.90	89.45	91.26800	91.26800	89.39700	89.27900	90.30400		29.135	0.21055
17.420	16.91	89.48	91.30000	91.30000	89.43600	89.30700	90.32700		30.711	0.22355
17.423	16.91	89.50	91.32500	91.32500	89.46500	89.33500	90.34900		30.581	0.21648
17.425	16.91	89.53	91.35800	91.35800	89.50500	89.35300	90.36300		29.469	0.21416
17.427	16.91	89.56	91.38200	91.38200	89.53400	89.37200	90.37800		30.138	0.21862
17.430	16.92	89.58	91.41500	91.41500	89.57300	89.39900	90.40000		30.419	0.22172
17.433	16.92	89.61	91.43900	91.43900	89.60200	89.42700	90.42200		30.128	0.20172
17.435	16.93	89.64	91.47200	91.47200	89.64100	89.44600	90.43700		31.279	0.21474
17.438	16.93	89.66	91.49700	91.49700	89.67000	89.47400	90.45900		32.695	0.19701
17.440	16.93	89.69	91.52900	91.52900	89.70900	89.49200	90.47400		31.748	0.21322
17.442	16.94	89.71	91.55400	91.55400	89.73900	89.51100	90.48900		30.300	0.21388
17.445	16.94	89.74	91.58600	91.58600	89.77800	89.53800	90.51100		27.996	0.22899
17.448	16.94	89.76	91.61100	91.61100	89.80700	89.56600	90.53300		29.046	0.22026
17.450	16.95	89.79	91.64400	91.64400	89.84600	89.58500	90.54800		31.407	0.20689
17.452	16.95	89.81	91.66800	91.66800	89.87500	89.60300	90.56200		32.775	0.19956
17.455	16.95	89.84	91.70100	91.70100	89.91400	89.63100	90.58400		32.229	0.22053
17.458	16.96	89.86	91.72500	91.72500	89.94400	89.65900	90.60600		33.860	0.19945
17.460	16.96	89.89	91.75800	91.75800	89.98300	89.67700	90.62100		32.568	0.19737
17.462	16.96	89.91	91.78300	91.78300	90.01200	89.69600	90.63600		31.608	0.20179
17.465	16.97	89.94	91.81500	91.81500	90.05100	89.72400	90.65800		31.785	0.20550
17.468	16.97	89.96	91.84000	91.84000	90.08000	89.75100	90.68000		30.876	0.22087
17.470	16.98	89.99	91.87300	91.87300	90.11900	89.77000	90.69500		31.545	0.20590
17.472	16.98	90.01	91.89700	91.89700	90.14800	89.78800	90.71000		32.360	0.20605
17.475	16.98	90.04	91.93000	91.93000	90.18800	89.81600	90.73200		33.401	0.20647
17.478	16.98	90.06	91.95400	91.95400	90.21700	89.84400	90.75400		32.989	0.19619
17.480	16.99	90.09	91.98700	91.98700	90.25600	89.86200	90.76900		32.567	0.20218
17.483	16.99	90.11	92.01200	92.01200	90.28500	89.89000	90.79100		33.056	0.20809
17.485	17.00	90.14	92.04400	92.04400	90.32400	89.90900	90.80500		32.233	0.20111
17.487	17.00	90.17	92.06900	92.06900	90.35300	89.92700	90.82000		32.110	0.20116
17.490	17.00	90.19	92.10200	92.10200	90.39200	89.95500	90.84200		31.743	0.21524
17.493	17.01	90.22	92.12600	92.12600	90.42200	89.98300	90.86400		33.008	0.20915
17.495	17.01	90.25	92.15900	92.15900	90.46100	90.00100	90.87900		33.184	0.19890
17.497	17.01	90.27	92.18300	92.18300	90.49000	90.02000	90.89400		30.247	0.20311
17.500	17.02	90.30	92.21600	92.21600	90.52900	90.04800	90.91600		29.725	0.21913
17.503	17.02	90.32	92.24100	92.24100	90.55800	90.07500	90.93800		31.628	0.19552
17.505	17.02	90.35	92.27300	92.27300	90.59700	90.09400	90.95300		32.833	0.19797
17.507	17.03	90.37	92.29800	92.29800	90.62700	90.11200	90.96700		32.683	0.20396
17.510	17.03	90.40	92.33100	92.33100	90.66600	90.14000	90.98900		30.912	0.21841
17.513	17.03	90.42	92.35500	92.35500	90.69500	90.16800	91.01200		31.197	0.21561
17.515	17.04	90.45	92.38800	92.38800	90.73400	90.18600	91.02600		30.286	0.21250
17.517	17.04	90.47	92.41200	92.41200	90.76300	90.20500	91.04100		30.812	0.23866
17.520	17.05	90.50	92.44500	92.44500	90.80200	90.23300	91.06300		31.777	0.24692
17.522	17.05	90.53	92.47800	92.47800	90.84100	90.25100	91.07800		33.735	0.21486
17.525	17.05	90.55	92.50200	92.50200	90.87100	90.27900	91.10000		34.776	0.20124
17.528	17.06	90.58	92.53500	92.53500	90.91000	90.30700	91.12200		32.989	0.19987
17.530	17.06	90.60	92.55900	92.55900	90.93900	90.32500	91.13700		26.832	0.23782
17.532	17.06	90.63	92.59200	92.59200	90.97800	90.34400	91.15200		28.124	0.22830
17.535	17.07	90.65	92.61700	92.61700	91.00700	90.37200	91.17400		29.912	0.22965
17.538	17.07	90.68	92.64900	92.64900	91.04600	90.39900	91.19600		31.303	0.22099
17.540	17.07	90.70	92.67400	92.67400	91.07500	90.41800	91.21000		34.293	0.20749
17.542	17.08	90.73	92.70700	92.70700	91.11400	90.43600	91.22500		34.157	0.20001
17.545	17.08	90.75	92.73100	92.73100	91.14400	90.46400	91.24700		32.938	0.20292
17.548	17.08	90.78	92.76400	92.76400	91.18300	90.49200	91.26900		33.216	0.21203
17.550	17.09	90.80	92.78800	92.78800	91.21200	90.51000	91.28400		33.279	0.21310
17.552	17.09	90.83	92.82100	92.82100	91.25100	90.52900	91.29900		34.953	0.20963
17.555	17.09	90.86	92.84600	92.84600	91.28000	90.55700	91.32100		34.064	0.20294
17.558	17.10	90.88	92.87800	92.87800	91.31900	90.58500	91.34300		33.766	0.20909
17.560	17.10	90.91	92.90300	92.90300	91.34900	90.60300	91.35800		34.217	0.20445
17.563	17.11	90.94	92.93600	92.93600	91.38800	90.63100	91.38000		33.148	0.21028
17.565	17.11	90.96	92.96000	92.96000	91.41700	90.64900	91.39500		33.903	0.21488
17.567	17.11	90.98	92.99300	92.99300	91.45600	90.66800	91.40900		33.581	0.21760
17.570	17.11	91.01	93.01700	93.01700	91.48500	90.69600	91.43100		35.203	0.20473
17.573	17.12	91.04	93.05000	93.05000	91.52400	90.72300	91.45400		33.155	0.20219
17.575	17.12	91.06	93.07500	93.07500	91.55400	90.74200	91.46800		31.305	0.22554
17.577	17.13	91.09	93.10700	93.10700	91.59300	90.76000	91.48300		35.493	0.22568
17.580	17.13	91.11	93.13200	93.13200	91.62200	90.78800	91.50500		34.417	0.22223
17.583	17.13	91.14	93.16500	93.16500	91.66100	90.81600	91.52700		34.974	0.21665
17.585	17.14	91.16	93.18900	93.18900	91.69000	90.83500	91.54200		36.050	0.17894
17.587	17.14	91.19	93.22200	93.22200	91.72900	90.85300	91.55700		35.473	0.19143
17.590	17.14	91.21	93.24600	93.24600	91.75800	90.88100	91.57900		33.645	0.20371
17.593	17.15	91.24	93.27900	93.27900	91.79700	90.90900	91.60100		37.369	0.18516
17.595	17.15	91.26	93.30400	93.30400	91.82700	90.92700	91.61600		38.356	0.19100
17.597	17.15	91.29	93.33600	93.33600	91.86600	90.94600	91.63000		38.261	0.18293
17.600	17.16	91.31	93.36100	93.36100	91.89500	90.97300	91.65200		37.359	0.18943
17.603	17.16	91.34	93.39300	93.39300	91.93400	91.00100	91.67500		36.283	0.19199
17.605	17.16	91.36	93.41800	93.41800	91.96300	91.02000	91.68900		37.692	0.19447
17.608	17.17	91.39	93.45100	93.45100	92.00200	91.04800	91.71100		36.796	0.19573
17.610	17.17	91.41	93.47500	93.47500	92.03200	91.06600	91.72600		34.757	0.19161
17.612	17.18	91.44	93.50800	93.50800	92.07100	91.08500	91.74100		38.352	0.19275
17.615	17.18	91.46	93.53200	93.53200	92.10000	91.11200	91.76300		38.545	0.18282
17.618	17.18	91.49	93.56500	93.56500	92.13900	91.14000	91.78500		38.607	0.18573
17.620	17.18	91.52	93.59000	93.59000	92.16800	91.15900	91.80000		37.437	0.21031
17.622	17.19	91.54	93.62200	93.62200	92.20700	91.17700	91.81500		38.049	0.18940
17.625	17.19	91.57	93.64700	93.64700	92.23700	91.20500	91.83700		40.256	0.18567
17.628	17.20	91.59	93.68000	93.68000	92.27600	91.23300	91.85900		36.479	0.19747
17.630	17.20	91.62	93.70400	93.70400	92.30500	91.25100	91.87300		35.380	0.20539
17.632	17.20	91.65	93.73700	93.73700	92.34400	91.27000	91.88800		36.402	0.20722
17.635	17.21	91.67	93.76100	93.76100	92.37300	91.29700	91.91000		37.426	0.19149
17.638	17.21	91.70	93.79400	93.79400	92.41200	91.32500	91.93200		38.439	0.18687
17.640	17.21	91.72	93.81900	93.81900	92.44100	91.34400	91.94700		35.081	0.21990
17.642	17.22	91.75	93.85100	93.85100	92.48000	91.36200	91.96200		37.395	0.22408
17.645	17.22	91.77	93.87600	93.87600	92.51000	91.39000	91.98400		40.286	0.20393
17.647	17.22	91.80	93.90900	93.90900	92.54900	91.40900	91.99900		41.510	0.19369
17.650	17.23	91.82	93.93300	93.93300	92.57800	91.43600	92.02100		35.491	0.20713
17.653	17.23	91.85	93.96600	93.96600	92.61700	91.46400	92.04300		38.095	0.20330
17.655	17.23	91.87	93.99000	93.99000	92.64600	91.48300	92.05800		34.836	0.20332
17.657	17.24	91.90	94.02300	94.02300	92.68500	91.50100	92.07200		33.503	0.22087
17.660	17.24	91.92	94.04800	94.04800	92.71500	91.52900	92.09400		34.227	0.21539
17.663	17.25	91.95	94.08000	94.08000	92.75400	91.55700	92.11700		34.610	0.21441
17.665	17.25	91.97	94.10500	94.10500	92.78300	91.57500	92.13100		34.367	0.20856
17.667	17.25	92.00	94.13800	94.13800	92.82200	91.59400	92.14600		36.182	0.21567
17.670	17.25	92.02	94.16200	94.16200	92.85100	91.62200	92.16800		35.835	0.20851
17.673	17.26	92.05	94.19500	94.19500	92.89000	91.64900	92.19000		35.426	0.18943
