/* DATA DESCRIPTION:
Citation:	Hodell, David A; Crowhurst, Simon J; Lourens, Lucas Joost; Margari, Vasiliki; Nicolson, John; Rolfe, James E; Skinner, Luke C; Thomas, Nicola C; Tzedakis, Polychronis C; Mleneck-Vautravers, Maryline J; Wolff, Eric William (2023): Combined oxgyen and carbon isotope data for the planktonic foraminifera Globigerina bulloides of sediment core MD01-2444 and IODPP Site 339-U1385. PANGAEA, https://doi.org/10.1594/PANGAEA.951397, 
	In: Hodell, DA et al. (2023): Benthic and planktonic oxygen and carbon isotopes and XRF data at IODP Site U1385 and core MD01-2444 from 0 to 1.5 Ma. PANGAEA, https://doi.org/10.1594/PANGAEA.951401
Keyword(s):	Benthic and planktonic foraminifera; IODP 339; MD01-2444; oxygen and carbon isotopes; XRF data
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Funding:	Leverhulme Trust, grant/award no. RPG2014-417
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J00653X/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J017922/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/K005804/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/R000204/1
Coverage:	MEDIAN LATITUDE: 37.568208 * MEDIAN LONGITUDE: -10.130014 * SOUTH-BOUND LATITUDE: 37.565000 * WEST-BOUND LONGITUDE: -10.134000 * NORTH-BOUND LATITUDE: 37.571416 * EAST-BOUND LONGITUDE: -10.126027
	DATE/TIME START: 2011-11-25T00:00:00 * DATE/TIME END: 2011-11-25T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.000 m * MAXIMUM DEPTH, sediment/rock: 26.880 m
Event(s):	339-U1385 * LATITUDE: 37.571416 * LONGITUDE: -10.126027 * DATE/TIME: 2011-11-25T00:00:00 * ELEVATION: -2587.0 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE)
	MD01-2444 * LATITUDE: 37.565000 * LONGITUDE: -10.134000 * ELEVATION: -2656.0 m * CAMPAIGN: MD123 (GEOSCIENCES, MARMARCORE) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: MD01-2444
	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: IODP Depth Scale Terminology (URI: hdl:10013/epic.50267.d001) * COMMENT: Equivalent 339-U1385 crmcd
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: Hybrid Age
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Lisiecki & Raymo (2005) [LR04] (URI: https://doi.org/10.1029/2004PA001071)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Ahn et al. (2017) [revised LR04 Prob Stack] (URI: https://doi.org/10.1093/climsys/dzx002)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Konijnenkijk et al. (2015) [revised Med Sapropel] (URI: https://doi.org/10.1016/j.quascirev.2015.10.005)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Barker et al. (2011) [GrSyn] (URI: https://doi.org/10.1126/science.1203580)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Antarctic ice core chronology (AICC2012) (URI: https://doi.org/10.5194/cp-9-1733-2013)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Buizert et al. (2015) [West Antarctic Ice Sheet (WAIS) model] (URI: https://doi.org/10.1038/nature14401)
	Globigerina bulloides, δ18O [‰ PDB] (G. bulloides δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, VG Sira and Thermo Finnigan, MAT 253 * COMMENT: vs. VPDB
	Globigerina bulloides, δ13C [‰ PDB] (G. bulloides δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, VG Sira and Thermo Finnigan, MAT 253 * COMMENT: vs. VPDB
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	26013 data points
*/
Depth sed [m] (MD01-2444)	Depth corr cr [crmcd] (Equivalent 339-U1385 crmcd, I...)	Age [ka BP] (Hybrid Age)	Age [ka BP] (Age model according to Lisiec...)	Age [ka BP] (Age model according to Ahn et...)	Age [ka BP] (Age model according to Konijn...)	Age [ka BP] (Age model according to Barker...)	Age [ka BP] (Antarctic ice core chronology...)	Age [ka BP] (Age model according to Buizer...)	G. bulloides δ18O [‰ PDB] (vs. VPDB, Mass spectrometer, ...)	G. bulloides δ13C [‰ PDB] (vs. VPDB, Mass spectrometer, ...)
	69.46	549.35	547.90000	552.60000	549.35000		549.32000		1.39	-1.27
	69.48	549.51	548.08000	552.80000	549.51000		549.50000		1.52	-1.09
	69.50	549.66	548.27000	553.01000	549.66000		549.68000		1.63	-0.89
	69.52	549.81	548.45000	553.21000	549.81000		549.86000		1.16	-1.24
	69.54	549.97	548.63000	553.41000	549.97000		550.05000		1.24	-1.34
	69.56	550.12	548.81000	553.61000	550.12000		550.23000		1.33	-1.18
	69.58	550.27	549.00000	553.82000	550.27000		550.41000		1.39	-1.03
	69.60	550.42	549.18000	554.02000	550.42000		550.59000		1.32	-1.18
	69.62	550.58	549.36000	554.22000	550.58000		550.77000		1.41	-1.17
	69.64	550.73	549.54000	554.42000	550.73000		550.95000		1.31	-1.07
	69.66	550.88	549.73000	554.63000	550.88000		551.13000		1.36	-1.17
	69.68	551.03	549.91000	554.83000	551.03000		551.31000		1.32	-1.37
	69.70	551.19	550.09000	555.03000	551.19000		551.49000		1.48	-1.36
	69.72	551.34	550.28000	555.23000	551.34000		551.68000		1.36	-1.43
	69.74	551.49	550.46000	555.44000	551.49000		551.86000		1.30	-1.29
	69.76	551.64	550.64000	555.64000	551.64000		552.04000		1.44	-1.30
	69.78	551.80	550.82000	555.84000	551.80000		552.22000		1.59	-1.33
	69.80	551.95	551.01000	556.04000	551.95000		552.40000		1.78	-1.31
	69.82	552.10	551.19000	556.25000	552.10000		552.58000		1.53	-1.41
	69.84	552.26	551.37000	556.45000	552.26000		552.76000		1.54	-1.48
	69.86	552.41	551.55000	556.65000	552.41000		552.94000		1.69	-1.26
	69.88	552.56	551.74000	556.85000	552.56000		553.12000		1.54	-1.31
	69.90	552.71	551.92000	557.06000	552.71000		553.31000		1.48	-1.33
	69.92	552.87	552.10000	557.26000	552.87000		553.49000		1.44	-1.46
	69.94	553.02	552.28000	557.46000	553.02000		553.67000		1.39	-1.40
	69.96	553.17	552.47000	557.66000	553.17000		553.85000		1.32	-1.32
	69.98	553.32	552.65000	557.87000	553.32000		554.03000		1.16	-1.39
	70.00	553.48	552.83000	558.07000	553.48000		554.21000		1.15	-1.62
	70.02	553.63	553.01000	558.27000	553.63000		554.39000		1.26	-1.45
	70.04	553.78	553.20000	558.47000	553.78000		554.57000		1.18	-1.42
	70.06	553.93	553.38000	558.67000	553.93000		554.75000		1.27	-1.01
	70.08	554.09	553.56000	558.88000	554.09000		554.94000		1.78	-1.16
	70.12	554.39	553.93000	559.28000	554.39000		555.30000		1.46	-0.92
	70.14	554.55	554.11000	559.48000	554.55000		555.48000		1.51	-1.12
	70.16	554.70	554.29000	559.69000	554.70000		555.66000		1.50	-1.22
	70.18	554.85	554.48000	559.89000	554.85000		555.84000		1.20	-1.01
	70.20	555.00	554.66000	560.09000	555.00000		556.02000		1.27	-1.07
	70.22	555.16	554.84000	560.29000	555.16000		556.20000		1.08	-1.22
	70.24	555.31	555.02000	560.50000	555.31000		556.38000		0.99	-1.06
	70.26	555.46	555.21000	560.70000	555.46000		556.57000		0.92	-1.24
	70.28	555.61	555.39000	560.90000	555.61000		556.75000		1.01	-1.09
	70.30	555.77	555.57000	561.10000	555.77000		556.93000		0.85	-1.17
	70.32	555.92	555.75000	561.31000	555.92000		557.11000		0.89	-1.21
	70.34	556.07	555.94000	561.51000	556.07000		557.29000		0.94	-1.05
	70.36	556.22	556.12000	561.71000	556.22000		557.47000		1.18	-1.12
	70.38	556.38	556.30000	561.91000	556.38000		557.65000		1.47	-1.27
	70.40	556.53	556.48000	562.12000	556.53000		557.83000		1.89	-1.03
	70.42	556.68	556.67000	562.32000	556.68000		558.01000		1.22	-1.30
	70.44	556.84	556.85000	562.52000	556.84000		558.20000		1.34	-0.96
	70.46	556.99	557.03000	562.72000	556.99000		558.38000		1.23	-1.06
	70.48	557.14	557.21000	562.93000	557.14000		558.56000		1.26	-0.98
	70.50	557.29	557.40000	563.13000	557.29000		558.74000		1.06	-0.98
	70.52	557.45	557.58000	563.33000	557.45000		558.92000		1.22	-0.98
	70.54	557.60	557.76000	563.53000	557.60000		559.10000		0.94	-0.92
	70.56	557.75	557.95000	563.74000	557.75000		559.28000		0.91	-1.03
	70.58	557.90	558.13000	563.94000	557.90000		559.46000		0.70	-1.32
	70.60	558.06	558.31000	564.14000	558.06000		559.64000		0.71	-1.26
	70.62	558.21	558.49000	564.34000	558.21000		559.83000		0.95	-0.95
	70.64	558.36	558.68000	564.55000	558.36000		560.01000		0.83	-1.11
	70.66	558.52	558.86000	564.75000	558.52000		560.19000		0.79	-1.03
	70.68	558.67	559.04000	564.95000	558.67000		560.37000		0.76	-0.95
	70.70	558.82	559.22000	565.15000	558.82000		560.55000		0.76	-1.20
	70.72	558.97	559.41000	565.36000	558.97000		560.73000		0.75	-1.14
	70.74	559.13	559.59000	565.56000	559.13000		560.91000		0.65	-1.29
	70.76	559.28	559.77000	565.76000	559.28000		561.09000		0.62	-1.13
	70.78	559.43	559.95000	565.96000	559.43000		561.27000		0.80	-1.18
	70.80	559.58	560.14000	566.17000	559.58000		561.46000		1.02	-0.97
	70.82	559.74	560.32000	566.37000	559.74000		561.64000		1.12	-1.11
	70.84	559.89	560.50000	566.57000	559.89000		561.82000		1.60	-0.80
	70.86	560.04	560.68000	566.77000	560.04000		562.00000		1.53	-0.88
	70.88	560.19	560.87000	566.98000	560.19000		562.18000		1.88	-0.66
	70.90	560.35	561.05000	567.18000	560.35000		562.36000		2.04	-0.68
	70.92	560.50	561.23000	567.38000	560.50000		562.54000		1.44	-0.68
	70.94	560.65	561.42000	567.58000	560.65000		562.72000		1.60	-0.67
	70.96	560.81	561.60000	567.79000	560.81000		562.90000		1.64	-0.67
	70.98	560.96	561.78000	567.99000	560.96000		563.09000		1.88	-0.64
	71.00	561.11	561.96000	568.19000	561.11000		563.27000		1.40	-1.32
	71.02	561.26	562.15000	568.39000	561.26000		563.45000		1.58	-0.59
	71.06	561.57	562.51000	568.80000	561.57000		563.81000		0.88	-1.45
	71.08	561.72	562.69000	569.00000	561.72000		563.99000		1.44	-0.66
	71.10	561.87	562.88000	569.13000	561.87000		564.17000		0.82	-1.08
	71.12	562.03	563.06000	569.26000	562.03000		564.35000		1.20	-0.72
	71.14	562.18	563.24000	569.39000	562.18000		564.53000		0.90	-0.76
	71.16	562.32	563.41000	569.51000	562.32000		564.71000		0.72	-0.93
	71.18	562.46	563.58000	569.63000	562.46000		564.87000		0.95	-1.05
	71.20	562.61	563.75000	569.75000	562.61000		565.04000		1.14	-0.76
	71.21	562.74	563.92000	569.86000	562.74000		565.20000		1.09	-0.75
	71.23	562.87	564.06000	569.97000	562.87000		565.35000		1.17	-0.65
	71.24	562.95	564.16000	570.04000	562.95000		565.45000		1.22	-0.85
	71.26	563.10	564.34000	570.16000	563.10000		565.62000		1.18	-0.70
	71.28	563.23	564.50000	570.28000	563.23000		565.78000		1.23	-0.70
	71.30	563.37	564.67000	570.39000	563.37000		565.95000		1.17	-0.78
	71.31	563.52	564.84000	570.52000	563.52000		566.12000		1.23	-0.84
	71.33	563.65	565.00000	570.63000	563.65000		566.28000		1.03	-0.91
	71.35	563.79	565.17000	570.75000	563.79000		566.45000		1.01	-0.95
	71.37	563.93	565.33000	570.86000	563.93000		566.61000		1.05	-0.80
	71.39	564.07	565.51000	570.99000	564.07000		566.78000		1.03	-0.65
	71.41	564.21	565.67000	571.10000	564.21000		566.94000		0.69	-1.06
	71.41	564.21	565.67000	571.10000	564.21000		566.94000		0.90	-1.31
	71.42	564.35	565.83000	571.22000	564.35000		567.11000		1.04	-0.70
	71.44	564.49	566.01000	571.34000	564.49000		567.28000		0.98	-0.82
	71.46	564.63	566.17000	571.46000	564.63000		567.44000		0.91	-1.07
	71.48	564.77	566.34000	571.57000	564.77000		567.60000		0.87	-0.75
	71.50	564.90	566.50000	571.69000	564.90000		567.77000		0.82	-0.83
	71.52	565.05	566.67000	571.81000	565.05000		567.94000		0.89	-0.76
	71.53	565.19	566.84000	571.93000	565.19000		568.10000		0.59	-1.19
	71.55	565.32	567.00000	572.05000	565.32000		568.27000		0.81	-1.00
	71.57	565.47	567.18000	572.17000	565.47000		568.44000		0.75	-1.16
	71.59	565.61	567.34000	572.28000	565.61000		568.60000		0.82	-1.17
	71.61	565.74	567.51000	572.40000	565.74000		568.76000		0.87	-0.71
	71.62	565.88	567.67000	572.52000	565.88000		568.93000		0.67	-1.04
	71.64	566.03	567.84000	572.64000	566.03000		569.10000		0.94	-0.66
	71.66	566.16	568.01000	572.75000	566.16000		569.26000		0.86	-0.86
	71.68	566.30	568.17000	572.87000	566.30000		569.42000		0.66	-0.60
	71.70	566.45	568.35000	572.99000	566.45000		569.60000		0.83	-0.82
	71.72	566.58	568.51000	573.11000	566.58000		569.76000		0.82	-0.84
	71.73	566.72	568.67000	573.23000	566.72000		569.92000		0.78	-0.89
	71.75	566.86	568.84000	573.34000	566.86000		570.09000		0.58	-1.00
	71.77	567.00	569.01000	573.46000	567.00000		570.26000		0.50	-1.07
	71.79	567.14	569.18000	573.58000	567.14000		570.42000		0.77	-0.59
	71.81	567.28	569.34000	573.70000	567.28000		570.58000		0.69	-0.72
	71.83	567.42	569.51000	573.82000	567.42000		570.76000		0.54	-0.60
	71.84	567.56	569.68000	573.94000	567.56000		570.92000		0.71	-0.72
	71.86	567.70	569.84000	574.05000	567.70000		571.08000		0.74	-0.47
	71.88	567.84	570.01000	574.17000	567.84000		571.24000		0.74	-0.49
	71.90	567.98	570.18000	574.29000	567.98000		571.42000		0.76	-0.54
	71.92	568.12	570.35000	574.41000	568.12000		571.58000		0.77	-0.39
	71.94	568.26	570.51000	574.52000	568.26000		571.74000		0.83	-0.24
	71.95	568.40	570.68000	574.65000	568.40000		571.91000		0.56	-0.77
	71.97	568.54	570.85000	574.76000	568.54000		572.08000		0.51	-0.75
	71.99	568.68	571.01000	574.88000	568.68000		572.24000		0.56	-0.75
	72.01	568.81	571.18000	574.99000	568.81000		572.40000		0.78	-0.80
	72.03	568.96	571.35000	575.12000	568.96000		572.58000		0.69	-0.57
	72.05	569.10	571.51000	575.23000	569.10000		572.74000		0.63	-0.69
	72.06	569.23	571.68000	575.35000	569.23000		572.90000		0.54	-0.66
	72.08	569.38	571.85000	575.47000	569.38000		573.07000		0.77	-0.47
	72.10	569.52	572.02000	575.59000	569.52000		573.24000		0.48	-0.73
	72.12	569.65	572.18000	575.70000	569.65000		573.40000		0.75	-0.56
	72.14	569.79	572.35000	575.82000	569.79000		573.56000		0.69	-0.69
	72.17	570.00	572.60000	576.00000	570.00000		573.82000		0.74	-0.62
	72.17	570.07	572.68000	576.06000	570.07000		573.90000		0.71	-0.44
	72.19	570.21	572.85000	576.17000	570.21000		574.06000		0.57	-0.65
	72.21	570.35	573.02000	576.30000	570.35000		574.23000		0.42	-0.83
	72.23	570.49	573.19000	576.41000	570.49000		574.40000		0.65	-0.58
	72.25	570.63	573.35000	576.53000	570.63000		574.56000		0.47	-0.71
	72.27	570.77	573.51000	576.65000	570.77000		574.72000		0.43	-0.73
	72.28	570.91	573.69000	576.77000	570.91000		574.89000		0.53	-0.61
	72.34	571.33	574.19000	577.15000	571.33000		575.39000		0.67	-0.60
	72.36	571.47	574.35000	577.29000	571.47000		575.55000		0.53	-0.93
	72.38	571.61	574.52000	577.44000	571.61000		575.72000		0.51	-0.84
	72.39	571.74	574.68000	577.58000	571.74000		575.88000		0.48	-0.78
	72.41	571.89	574.86000	577.73000	571.89000		576.05000		0.37	-0.86
	72.43	572.03	575.02000	577.87000	572.03000		576.22000		0.62	-0.71
	72.45	572.16	575.19000	578.02000	572.16000		576.38000		0.67	-0.80
	72.47	572.31	575.36000	578.17000	572.31000		576.55000		0.57	-0.85
	72.48	572.45	575.52000	578.31000	572.45000		576.71000		0.47	-0.91
	72.50	572.58	575.69000	578.45000	572.58000		576.88000		0.46	-0.92
	72.52	572.72	575.85000	578.60000	572.72000		577.04000		0.61	-0.89
	72.54	572.87	576.03000	578.75000	572.87000		577.21000		0.43	-0.97
	72.56	573.00	576.20000	578.89000	573.00000		577.37000		0.55	-0.84
	72.58	573.14	576.36000	579.03000	573.14000		577.54000		0.50	-0.97
	72.59	573.29	576.54000	579.18000	573.29000		577.71000		0.47	-0.93
	72.61	573.42	576.71000	579.33000	573.42000		577.87000		0.63	-0.85
	72.63	573.56	576.87000	579.47000	573.56000		578.04000		0.50	-1.03
	72.65	573.70	577.04000	579.61000	573.70000		578.20000		0.44	-1.08
	72.67	573.84	577.21000	579.76000	573.84000		578.37000		0.42	-1.10
	72.69	573.98	577.38000	579.91000	573.98000		578.53000		0.56	-1.03
	72.70	574.12	577.55000	580.05000	574.12000		578.70000		0.44	-1.23
	72.72	574.26	577.72000	580.20000	574.26000		578.87000		0.48	-1.24
	72.74	574.40	577.89000	580.34000	574.40000		579.03000		0.51	-1.14
	72.76	574.52	578.03000	580.46000	574.52000		579.17000		0.50	-1.06
	72.77	574.61	578.15000	580.56000	574.61000		579.29000		0.62	-1.04
	72.78	574.71	578.27000	580.67000	574.71000		579.40000		0.51	-1.04
	72.80	574.81	578.39000	580.77000	574.81000		579.52000		0.49	-1.31
	72.81	574.91	578.51000	580.87000	574.91000		579.64000		0.58	-1.19
	72.82	575.01	578.63000	580.98000	575.01000		579.76000		0.51	-1.23
	72.83	575.11	578.75000	581.08000	575.11000		579.87000		0.48	-1.40
	72.85	575.21	578.87000	581.18000	575.21000		579.99000		0.57	-1.47
	72.86	575.30	578.98000	581.28000	575.30000		580.10000		0.55	-1.24
	72.87	575.40	579.10000	581.38000	575.40000		580.22000		0.70	-1.32
	72.89	575.50	579.22000	581.49000	575.50000		580.34000		0.72	-1.34
	72.90	575.60	579.34000	581.59000	575.60000		580.45000		0.97	-1.12
	72.91	575.70	579.46000	581.69000	575.70000		580.57000		1.24	-0.99
	72.92	575.80	579.58000	581.79000	575.80000		580.69000		1.06	-1.05
	72.94	575.90	579.70000	581.90000	575.90000		580.81000		0.99	-0.99
	72.95	576.12	579.82000	582.00000	576.12000		580.92000		1.18	-1.01
	72.96	576.39	579.94000	582.10000	576.39000		581.04000		1.26	-0.72
	72.97	576.63	580.05000	582.20000	576.63000		581.15000		1.12	-1.03
	72.99	576.90	580.17000	582.30000	576.90000		581.27000		1.50	-1.77
	73.00	577.16	580.29000	582.41000	577.16000		581.39000		1.43	-0.79
	73.01	577.43	580.41000	582.51000	577.43000		581.51000		1.37	-1.05
	73.03	577.69	580.53000	582.61000	577.69000		581.64000		1.62	-1.88
	73.04	577.95	580.66000	582.72000	577.95000		581.76000		1.57	-0.88
	73.05	578.22	580.78000	582.82000	578.22000		581.89000		1.44	-0.70
	73.07	578.48	580.90000	582.92000	578.48000		582.02000		1.48	-0.68
	73.08	578.73	581.01000	583.02000	578.73000		582.14000		1.52	-0.89
	73.09	578.99	581.13000	583.12000	578.99000		582.26000		1.95	-0.55
	73.10	579.26	581.25000	583.22000	579.26000		582.39000		2.01	-0.58
	73.12	579.52	581.37000	583.33000	579.52000		582.52000		1.54	-0.99
	73.13	579.78	581.49000	583.43000	579.78000		582.65000		1.71	-1.16
	73.14	579.95	581.56000	583.53000	579.95000		582.73000		1.62	-1.00
	73.14	580.09	581.63000	583.62000	580.09000		582.79000		1.24	-1.23
	73.16	580.40	581.77000	583.80000	580.40000		582.94000		1.30	-1.34
	73.17	580.70	581.90000	583.99000	580.70000		583.09000		1.47	-1.01
	73.19	581.01	582.04000	584.18000	581.01000		583.24000		1.33	-1.04
	73.20	581.31	582.18000	584.36000	581.31000		583.38000		1.30	-1.09
	73.22	581.62	582.32000	584.55000	581.62000		583.53000		1.50	-1.01
	73.26	582.45	582.70000	585.06000	582.45000		583.93000		1.46	-0.83
	73.31	583.45	583.15000	585.67000	583.45000		584.42000		1.78	-0.85
	73.33	583.85	583.34000	585.92000	583.85000		584.61000		1.64	-0.59
	73.35	584.26	583.54000	586.17000	584.26000		584.81000		1.60	-0.89
	73.37	584.67	583.77000	586.42000	584.67000		585.00000		1.49	-1.73
	73.39	585.07	583.99000	586.67000	585.07000		585.20000		1.44	-1.18
	73.41	585.48	584.22000	586.92000	585.48000		585.40000		1.77	-1.03
	73.43	585.89	584.44000	587.17000	585.89000		585.59000		1.93	-0.50
	73.45	586.29	584.66000	587.42000	586.29000		585.79000		1.74	-0.61
	73.47	586.70	584.89000	587.67000	586.70000		585.99000		2.06	-0.49
	73.49	587.11	585.11000	587.92000	587.11000		586.18000		2.11	-0.61
	73.51	587.51	585.34000	588.17000	587.51000		586.38000		1.80	-0.65
	73.53	587.92	585.56000	588.42000	587.92000		586.58000		1.51	-0.61
	73.55	588.33	585.79000	588.66000	588.33000		586.77000		1.40	-0.80
	73.57	588.74	586.01000	588.91000	588.74000		586.97000		1.35	-0.67
	73.59	589.14	586.23000	589.16000	589.14000		587.17000		1.36	-0.66
	73.61	589.55	586.46000	589.41000	589.55000		587.36000		1.20	-0.81
	73.63	589.96	586.68000	589.66000	589.96000		587.56000		1.33	-0.51
	73.65	590.36	586.91000	589.91000	590.36000		587.76000		1.31	-0.47
	73.67	590.77	587.13000	590.16000	590.77000		587.95000		1.07	-0.57
	73.69	591.18	587.36000	590.41000	591.18000		588.15000		1.28	-0.73
	73.71	591.58	587.58000	590.66000	591.58000		588.34000		1.10	-0.48
	73.73	591.99	587.80000	590.91000	591.99000		588.54000		1.19	-0.69
	73.75	592.40	588.03000	591.16000	592.40000		588.74000		1.19	-0.41
	73.77	592.80	588.25000	591.41000	592.80000		588.93000		1.11	-0.68
	73.79	593.21	588.48000	591.66000	593.21000		589.13000		1.08	-0.71
	73.81	593.62	588.70000	591.90000	593.62000		589.33000		0.92	-0.70
	73.81	593.64	588.71000	591.92000	593.64000		589.34000		0.95	-0.80
	73.82	593.88	588.85000	592.07000	593.88000		589.45000		0.69	-0.80
	73.83	594.11	588.97000	592.20000	594.11000		589.56000		0.60	-1.04
	73.84	594.33	589.09000	592.34000	594.33000		589.67000		0.67	-0.71
	73.86	594.57	589.23000	592.49000	594.57000		589.79000		0.73	-0.74
	73.87	594.80	589.35000	592.63000	594.80000		589.90000		0.65	-0.79
	73.88	595.04	589.49000	592.78000	595.04000		590.01000		0.77	-0.98
	73.89	595.26	589.61000	592.91000	595.26000		590.12000		0.76	-0.81
	73.90	595.49	589.73000	593.05000	595.49000		590.23000		0.90	-1.03
	73.91	595.73	589.87000	593.20000	595.73000		590.35000		0.78	-0.98
	73.92	595.96	589.99000	593.34000	595.96000		590.46000		0.82	-0.90
	73.94	596.18	590.11000	593.48000	596.18000		590.56000		0.60	-0.97
	73.96	596.65	590.37000	593.76000	596.65000		590.79000		0.68	-1.10
	73.97	596.89	590.51000	593.91000	596.89000		590.91000		0.60	-1.12
	73.98	597.12	590.63000	594.05000	597.12000		591.02000		0.90	-1.01
	73.99	597.34	590.75000	594.19000	597.34000		591.12000		0.87	-0.89
	74.00	597.58	590.89000	594.34000	597.58000		591.24000		0.88	-1.09
	74.02	597.81	591.01000	594.47000	597.81000		591.35000		1.05	-0.97
	74.03	598.03	591.14000	594.61000	598.03000		591.46000		1.13	-1.00
	74.04	598.28	591.27000	594.76000	598.28000		591.58000		1.69	-0.69
	74.05	598.50	591.39000	594.90000	598.50000		591.68000		2.07	-0.53
	74.07	598.97	591.65000	595.18000	598.97000		591.91000		1.42	-1.00
	74.08	599.19	591.77000	595.32000	599.19000		592.02000		1.30	-0.98
	74.10	599.50	591.94000	595.51000	599.50000		592.17000		1.14	-1.00
	74.12	599.84	592.13000	595.72000	599.84000		592.33000		0.89	-0.96
	74.13	600.21	592.34000	595.94000	600.21000		592.51000		0.89	-0.95
	74.15	600.41	592.53000	596.15000	600.41000		592.68000		0.81	-1.27
	74.17	600.55	592.73000	596.38000	600.55000		592.85000		0.96	-0.97
	74.19	600.68	592.93000	596.60000	600.68000		593.03000		0.87	-1.12
	74.20	600.81	593.12000	596.82000	600.81000		593.20000		0.85	-0.97
	74.22	600.94	593.32000	597.04000	600.94000		593.37000		0.98	-1.02
	74.24	601.07	593.51000	597.25000	601.07000		593.54000		0.86	-1.03
	74.26	601.20	593.71000	597.48000	601.20000		593.72000		0.85	-0.96
	74.27	601.33	593.91000	597.69000	601.33000		593.89000		1.18	-0.83
	74.29	601.46	594.11000	597.91000	601.46000		594.06000		0.77	-1.11
	74.31	601.58	594.30000	598.12000	601.58000		594.23000		0.75	-0.95
	74.33	601.72	594.50000	598.35000	601.72000		594.41000		0.61	-1.11
	74.34	601.84	594.69000	598.56000	601.84000		594.57000		0.69	-1.10
	74.36	601.98	594.89000	598.78000	601.98000		594.75000		1.00	-0.86
	74.40	602.24	595.29000	599.22000	602.24000		595.15000		1.87	-0.26
	74.42	602.37	595.49000	599.45000	602.37000		595.39000		1.91	-0.09
	74.43	602.50	595.68000	599.66000	602.50000		595.61000		1.87	-0.59
	74.47	602.76	596.07000	600.09000	602.76000		596.06000		1.65	-0.85
	74.48	602.89	596.27000	600.32000	602.89000		596.30000		1.36	-1.18
	74.50	603.02	596.46000	600.53000	603.02000		596.52000		1.24	-1.22
	74.52	603.15	596.66000	600.75000	603.15000		596.75000		1.01	-1.29
	74.54	603.30	596.89000	601.00000	603.30000		597.01000		0.43	-1.48
	74.54	603.30	596.89000	601.00000	603.30000		597.01000		0.64	-1.35
	74.56	603.45	597.11000	601.25000	603.45000		597.27000		0.96	-0.98
	74.58	603.60	597.34000	601.50000	603.60000		597.53000		1.05	-1.12
	74.60	603.75	597.56000	601.75000	603.75000		597.79000		1.08	-0.89
	74.62	603.89	597.79000	602.00000	603.89000		598.06000		1.01	-1.85
	74.64	604.04	598.01000	602.14000	604.04000		598.32000		1.29	-1.07
	74.66	604.19	598.23000	602.29000	604.19000		598.58000		0.96	-0.90
